id,topic,summary
891,Pregnancy talk,#Rachel# and #Chandler# are talking about #Rachel#'s pregnancy. #Chandler# thinks that #Rachel# is the youngest pregnant woman in the world.
892,Job interview,#Chandler# tells #Joey# he has a job interview and #Joey# asks how he knows how to do that. #Monica# wants to make #Chandler# try her bouillabaisse again and #Chandler# thinks #Monica# lives in her own little world.
893,Do the wedding ceremony,#Joey# tells #Chandler# and Monica that #Joey# will do the wedding ceremony for them. #Joey# thinks it's a good idea because #Joey# will do a good job and it's a good opportunity for #Joey# to meet new people.
895,Key dispute,#Phoebe# and #Joey# are arguing about the key. Mr. Treeger tells them there's a gas leak in the building and asks them to use his key to find it.
896,Dating a guy,Phoebe tells Chandler that she'll go out with the guy she settled for because he can't hear what she's talking about. Chandler thinks she's wrong.
897,Tell a cat,Ross asks Monica to tell Phoebe that her mother is in a cat. Monica thinks Ross is wrong and thinks he is right.
898,Learning something,#Joey# tells #Chandler# #Joey# spent two weeks learning something. #Joey# feels like #Joey# learned something and #Joey# will stick with the 'it's all for her' thing.
899,Indian sweets,#Phoebe# tells #Monica# about the delicacy of Indian sweets.
900,A hometown,#Phoebe# and Mischa are talking about their hometown. Mischa asks #Phoebe# to kiss him and #Phoebe# refuses.
901,A gift for janice,Chandler and Joey are talking about gifts for Janice. Joey suggests a barium enema. Chandler thinks it's too serious and asks Joey to buy him a pearl necklace. Joey tells Chandler Janice was kissing her ex-husband in his office.
902,Drunk and beautiful,Ross is drunk and tells Rachel that he's drunk. Chandler tells Ross to get through a little bit more and Monica doesn't have to take off her top. Ross thinks Monica is beautiful and Rachel thinks Ross is drunk.
903,Dance with Monica,#Chandler tells Rachel that he knew Monica was the woman he wanted to dance all his dances with.
904,The machine,#Monica# tells #Rachel# and #Phoebe# that the super couldn't figure out what the machine does. #Monica# officially gives up.
905,Talk about a book,#Chandler# and Monica tell #Jay Leno# that #Nora Tyler Bing is coming up. #Chandler# thinks it's weird because #Nora Tyler Bing is #Chandler#'s mom. #Rachel# and #Joey# think #Nora Tyler Bing's books are cool.
906,Apology,#Rachel# apologizes to Monica for the cinamon stick with an eraser.
907,Apologize to the tree,#Phoebe# tells #The Smoking Woman# to apologize to the tree. #Phoebe# calls for backup.
908,A bug stuck in tar,Ross is annoyed with Joey's obsession with bugs and wants to go to the comet. Joey tells him there's a bug stuck in tar and Ross wants to see it.
909,Secret passageway,#Phoebe# and #Trudie Styler# meet in the secret passageway.
910,A game,"Ross, Chandler, Monica, and Rachel are talking about the game. Monica asks Ross and Chandler if they think Alan is too Alan sometimes. Ross and Chandler answer that they can never be too Alan."
911,Acting for beginners,#Joey# tells Monica #Joey# had a great time learning how to bake and ate great food. #Monica# tells #Joey# to feel good about #Joey#'s acting.
912,Use the bathroom,#Ross# and #Ross#'s girlfriend are arguing about #Ross#'s pants. #Ross# asks #Ross# to use the bathroom.
913,Play games,#Joey# and Chandler are playing games and #Joey# is complaining about Ross' schedule. #Chandler# suggests they crank it up a notch. #Joey# thinks they should get their security deposit back.
914,Drink conversation,#Monica# asks #Rachel# about #Rachel#'s friends. #Rachel# thinks it's rum.
915,Pregnant women,#Rachel and #Joey are at nine centimeters and the baby's at zero station. #Chandler is terrified of the baby's arrival. #Dr. Franzblau tells #Carol that the baby's not ready yet.
916,Conversation about the future,Ross tells #Mona that they are having a conversation about where things are with them. Ross thinks they are having fun but #Mona thinks they are not getting any younger. #Mona asks where they are going.
917,Take out dinner,#Chandler# takes #Chandler# out to dinner because #Chandler# wants to take #Chandler# out. #Chandler# tells #Chandler# the place makes the greatest mozzarella sticks and jalepino poppers.
918,Change name,Chandler is going to the courthouse to change his name to Mark Johnson. Phoebe thinks he's serious but Joey thinks he's joking. Phoebe thinks Chandler's name is great and she's going to name the baby Chandler.
919,Dinner date,#Ross# and #Emily# are having a romantic dinner. #Ross# thinks it was going to be romantic as hell but #Emily# thinks it was just ordinary.
920,Draw with tweezers,#Student# tells #Joey# that #Student# will not draw with tweezers. #Student# thinks #Student# is better than #Student#'s best friend.
921,Sex with a friend,#Phoebe# is shocked to find #Eric# had sex with Ursula. #Phoebe# thinks it's weird and #Eric# thinks it's for the best.
922,Shopping for Ross,#Phoebe# asks #Rachel# to bring her some photos of Ross and a small piece of chocolate.
923,A serious relationship,Chandler and Janice are talking about their relationship. Chandler is getting transferred overseas and Janice is not happy about it. They talk about the places they want to go.
924,Ask questions,Phoebe and Joey go to Dr. Drake Remoray's office to ask him questions. Dr. Drake Remoray is not their type.
925,Stop by office,#Mrs. Tedlock tells Chandler that Mr. Kostelick wants him to stop by his office at the end of the day. Chandler denies that he had anything to do with the memos.
926,Tell someone,#Chandler# tells #Monica# he's moving out because #Chandler# can't tell #Joey# he's pregnant. #Monica# tells #Joey# they have something to tell him.
927,Marry in vegas,#Phoebe# and #Monica# are talking about getting married in Vegas. #Phoebe# thinks it's only a marriage in Vegas.
928,Porn shop,#Monica# and #Richard# are talking about the guy who goes to the porn shop when they leave the classics shop.
929,Invite the guys,#Phoebe# invites the guys to help her make the Thanksgiving dinner.
930,Watch a movie,Ross and Chandler are watching Die Hard 2. Joey wants to watch it a second time and Ross thinks it's cool. Chandler thinks Ross is being bitchy.
931,A murder,#Joey/Drake# tells #Joey/Drake#'s brother that #Joey/Drake# botched the operation on purpose and #Joey/Drake# will be going to jail for murder. #Joey/Drake# doesn't care if #Joey/Drake# is #Joey/Drake#'s brother.
932,Rachael's decision,Ross tells Phoebe that Rachael is going to kiss Joey. Monica tells Ross that friends hooking up is a bad idea. Ross thinks it's a big mistake but Rachael decides to do it. Monica can't stop Rachael.
933,Go to the restaurant,"Joey goes to the restaurant to get a coffee. He's going to talk to Rachel about her boyfriend, but he's not supposed to go back there. Gunther tells him he's not supposed to wink at the customers, but Joey doesn't see him doing that."
934,Call to Monica,"#The Museum Official# calls Monica to let her know that there was a cancellation and if she's still interested in having the Bing-Geller wedding at their facility, it is available."
935,A setback,Monica and Phoebe are talking about their relationship with Chandler. Monica thinks Chandler is the worst setback in her relationship with Chandler. Phoebe tells Monica to fix it. Monica apologizes to Chandler and asks Phoebe to help her.
936,Go to london,Rachel is going to London to tell Ross she loves him. Phoebe thinks Rachel is going to mess up Ross' wedding and Rachel thinks Phoebe is just messing with her. Phoebe apologizes and Rachel says she missed her chance.
937,Introduction of the hydrosaurs,#Ross# introduces the hydrosaurs to #Ross#'s students.
938,Apologize,#Joey# apologizes to Beth for going home with her. #Joey# thinks #Joey# should've considered Beth's feelings before going home with her. #Joey# asks Jennifer to forgive #Joey#.
939,Got engaged,#Phoebe# tells #Rachel# #Phoebe# just got engaged. #Phoebe# thinks it's a good idea but #Rachel# doesn't. #Ross# will come back later and #Rachel# guesses #Phoebe# is engaged.
940,Moving out,Phoebe thinks Ross is starting to put on weight and Monica left lipstick marks on the phone. Phoebe tells Ross that she moved out.
941,A book,"Julio tells Monica that he's reading Flowers of Evil, but the translation's no good. Monica tells him he's a poet and he can write an epic poem about this lip."
942,A beautiful woman,#Ross# is on the train and #Ross# sees a beautiful woman on the train. #Ross# asks her about her beautiful eyes and she tells #Ross# she lives in Montreal and it's just a two-hour ferry ride to Nova Scotia.
943,Cookies and cakes,"#Monica# gives #Ross# and #Phoebe# a batch of cookies. #Ross# thinks they taste a little like grandmother's cookies, but #Phoebe# thinks they're too sweet."
944,Candy bar argument,Joey and Phoebe argue about who ate the candy bar.
945,Hate your job,Rachel hates her job but she wants to stick it out because it's related to her field. Guy tells her that he had to work at Mannequins Plus and he's sorry for her.
946,Daily news,#Phoebe# and #Monica# are reading the daily news. #Phoebe# wants to check her horoscope and #Monica# doesn't want to. #Phoebe# starts whistling and #Monica# joins her.
947,Discuss the food,Monica is the chef at Alessandro's. The Food Critic thinks her bouillabaisse is abysmal and Joey wants to avoid a beating. The Cooking Teacher asks Monica to tell the difference between a hollandaise sauce and a bearnaise sauce. Monica is the head of the class.
948,Play a song,#Phoebe# is playing a song for the customers and #Monica# is telling #Phoebe# that the place is too classy for her. #Phoebe# says she'll play a different song.
949,Boredom,#Joey# and #Rachel# are bored and #Joey# suggests they read. #Rachel# says they can't because they're not pharmacists. #Joey# suggests they go to a convention.
950,Pants and cowboy,Ross is wearing the wrong pants and he's a loser. Monica thinks he's a cowboy and Ben thinks he's a cowboy. Ross thinks he's a cowboy and Monica thinks he's a cowboy. Ross thinks he should get another pair of pants.
951,A fight,#Ross# and #Chandler# have a fight because #Ross# thinks #Chandler# never did what #Ross# asked.
952,Romantic life,"#Joey# tells #Ross# about his nap and his close friends who are gay. #Ross# asks #Joey# about his romantic life. #Joey# tells #Ross# he looks a woman up and down and says, ""Hey, how you doin'?"""
953,Set rattraps,Phoebe and Mike are setting rattraps to kill Bob. Mike thinks they should capture Bob and set him free in the country side where he can meet a friendly possom and a wisecracking owl. Phoebe thinks they killed Bob.
954,Rejection and acting,Joey helps Carol use the ladies' room. Carol tells Joey Ben wants to be an actor. Joey tells Carol that it's no picnic.
955,Invitation to a party,Rachel and Monica talk about the invitation to the party. Rachel says she will not accept it because she has nothing better to do. Monica says she will accept it because she has nothing better to do.
956,Skip the seventh date,#Danny# and #Rachel# are skipping the seventh date. #Rachel# tells #Danny# that #Danny#'s sister has a masculine energy and #Danny#'s family is close. #Danny# thinks #Rachel# won't let that stand in the way of them.
957,Wedding talk,#Ross# and Rachel are talking about their wedding. #Ross# says it was awful and Rachel says it was wonderful.
958,Long journey,Ross tells the story of the long journey to the airport.
959,A letter,#Ross# calls a cab because #Ross# didn't want to stay with Rachel. Rachel asks #Ross# to write a letter to her. #Ross# says #Ross# will be up in 18 pages.
960,Dish criticism,#Monica# thinks the marinara sauce tastes like tomato juice and #Allesandro# thinks it's delicious. #Monica# wants to show #Allesandro# what it should taste like.
961,A nasty letter,Ross is tired of writing a nasty letter to Emily. He decides to skip the movie and read a book alone. Joey is worried about Ross' mood.
962,Baby talk,#Monica# and #Chandler# are talking about having a baby. #Monica# thinks they may have just changed their lives forever.
963,Break up,Ross tells Chandler that he and his girlfriend broke up because she likes someone else. Chandler thinks Ross is too slow.
964,A promise,#Ross# tells #Rachel# that he's trying to work things out with Emily. #Ross# apologizes to #Rachel# for making a promise that he can't keep. #Rachel# apologizes to #Ross# for making a promise that she can't keep.
965,Job talk,Rachel tells Chip about Monica's job. Chip asks her about Amy Welch.
966,Love and marriage,#Ross# tells Phoebe and Rachel that he loves them. But they think he is talking to the baby.
967,Watch the game,"#Rachel, Joey and #Rachel's mom watch the game. #Rachel thinks Mia Hamm is annoying."
968,Love story,Ross and Chandler are talking about Chandler's love story. Ross thinks Chandler's love story is amazing and he can't believe Chandler stole Monica's story.
969,Patching things up,#Joey and Ross talk about how they should patch things up with #Ross's ex-girlfriend. #Joey suggests they invite her to another Knicks game.
970,Get along with others,Joey tells Chandler that sometimes he doesn't get Chandler.
971,Do stuff without Ross,#Joey tells #Ross that #Joey and #Ross do stuff all the time without #Ross.
972,Summer memories,Ross tells Cassie about their summer together when they were kids. Ross thinks they are related because they both got freckles.
973,A happy place,"#Phoebe# is trying to relax Monica's body and mind. Monica tells #Phoebe# her happy place is Richard's living room, drinking wine, and asks #Phoebe# to tell her the happy place. #Phoebe# tells Monica the warm breeze, the moonlight flowing through the trees, the lovely waterfalls, and the calming sounds of the babbling brook."
974,See you later,#Julie# tells #Ross# she'll see him later.
975,Ask a question,#Ross asks Rachel to cut it out.
976,Pay a musician,#Terry# tells #Rachel# that #Terry# has decided to pay a professional musician to play in #Terry#'s bar. #Rachel# thinks Phoebe is bad and #Terry# doesn't like her.
977,Jealousy,#Rachel# is jealous of #Ross#'s girlfriend who is a stripper. #Ross# tells #Rachel# that #Ross# loves #Rachel# and #Rachel# is jealous.
978,Make love,#Rachel# and #Chandler# are talking about their relationship. #Rachel# wants to make love to #Chandler# but #Chandler# wants to make love to #Rachel#. #Her-Friends# are surprised.
979,Love confession,#Joey and #Phoebe are talking about #Ross's love for #Phoebe. #Chandler and #Monica tell them that #Ross doesn't know about #Ross's love for #Phoebe yet.
980,Write a letter,"Ross tells Chandler that he's writing a letter to Mary-Angela, but Chandler thinks it's hard to write. Ross tells Chandler that he's moving to France and Chandler should do it himself."
981,Kissing,Ross tells Rachel that Jill kissed him. Rachel is surprised.
982,Cups game,#Joey# wins 50 dollars because #Joey# has a four and a nine.
983,A drunk minister,#Rachel# is worried about #Joey# because he's drunk and won't leave the set. #Joey# tells #Rachel# he'll marry them right now.
984,Traveling to vegas,Joey asks Phoebe which route to take to Vegas. Phoebe tells him about the man with a beard of bees in Illinois.
985,Lose health insurance,#Joey# tells Estelle that #Joey# lost his health insurance. Estelle tells #Joey# to damage control.
986,Friends' secrets,#Rachel# tells Phoebe and Joey that Monica and Chandler are friends and they don't know that Rachel knows. Joey thinks it doesn't matter who knows what.
987,Traditions,"Chandler tells Chandler that the parade is a tradition, like the parade."
988,Change in relationship,#Phoebe# thinks that #Rachel# and #Ross# will change their relationship when they have kids. #Phoebe# thinks that things change.
989,Protect the house,Rachel and Chandler are worried about the cheesecake in Mrs. Braverman's house. They decide to protect her and take it.
990,Joey's problems,Joey tells Chandler he's always seeing girls on top of girls and thinks he's always going out with all these women. Chandler thinks Joey's not his father and tells him he decided to go into the out-of-work actor business.
991,Chef's cooking,The Cooking Teacher tells Joey that the Fettuccini Alfredo looks a little dry. Joey tells the Cooking Teacher that he had to ask someone what it's called when the water makes those little bubbles. The Cooking Teacher tells Monica that the chef is amazing.
992,Dinner party,#Monica invites #Phoebe# and #Ross# to a dinner party because Roger wants her to invite them. #Phoebe# thinks he's perceptive and it freaks #Monica# out.
993,Buy stuff out of guilt,#Ross# and #Joey# are talking about Chandler buying stuff out of guilt.
994,Gay cruise,Joey asks Chandler whether he was on a gay cruise. Chandler tells him he was and Joey doesn't believe him.
995,Give a project,Ross suggests Chandler to go down to the street to give a project to the kids. Chandler thinks Ross' idea is ridiculous.
996,Wedding talk,#Ross# and Emily are talking about the wedding. Emily thinks the wedding is postponed but #Ross# thinks it's now or never. Emily thinks #Ross# is backwards and wants to postpone the wedding. #Ross# thinks it's important and wants to get married.
997,A call,#Monica# calls to tell Chandler that she bought groceries and was going to make him dinner. But she's too nervous to do it. Then she calls the museum to tell Chandler that there was a cancellation.
998,Gift giving,#Mrs. Tribbiani# comes to give #Joey# the ring and the watch.
999,Talk about the baby,#Susan# tells #Ross# that she talks to her baby about #Ross#.
1000,Dump of crap,#Monica# thinks #Rachel# and #Chandler# are right about the apartment. #Joey# wants the chair.
1001,A bad day,#Monica's fired and she's the new head of purchasing. Ross and Chandler want to celebrate with her.
1002,Table game,Ross and Monica are playing a game. Ross thinks the table is the most beautiful table he's ever seen. Monica says it's the most beautiful table she's ever seen.
1003,A house,#Monica# invites #Joey# to her house. #Monica# tells #Joey# she got it from her grandmother. #Monica# tells #Joey# she's afraid of her VCR.
1004,Talk about the house,#Ross# and #Paul# are talking about the house. #Ross# thinks it's beautiful and #Rachel# thinks it's great.
1005,Dinner conversation,"#Phoebe# and #Larry# are going to the Italian place down on Bleaker Street. #Phoebe# wants to go to Mama Lisettie's, but #Larry# thinks it's unhealthy. #Phoebe# tells #Larry# she'd choose convenience over health. #Larry# gives her a warning."
1006,Kitchen cleaning,Rachel and Phoebe are cleaning the kitchen. Phoebe wants to switch to Monica's place because she can eat cookies over the sink. Rachel is sorry and agrees.
1007,A bad interview,Ross tells Chandler that she lost the interview because she wouldn't even hire her. Rachel thinks she should stay at the coffee house because Terry already hired that girl. Ross tells Rachel that she was teaching everybody how to make napkin swans.
1008,A boyfriend bonfire,#Fireman No. 1# and #Fireman No. 2# are talking about a boyfriend bonfire that got out of control. #Rachel# asks #Fireman No. 1# and #Fireman No. 2# to take a call about a boyfriend bonfire that got out of control.
1009,Pizza order,#Rachel# apologizes to #Monica# and #Phoebe# for bringing them down. #Rachel# asks for pizza. #Phoebe# thinks it's George Stephanopoulos' pizza. #Rachel# thinks it's Big Bird's friend.
1010,Play naked game,#Joey# suggests playing naked game to #Monica# and #Rachel#. #Ross# refuses to play.
1011,Choose a movie,"Ross tells Monica and Rachel that he printed up a list of actresses for Chandler to choose from. Monica thinks it's official, but Rachel thinks it's not. Ross laminated it."
1012,See a doctor,Phoebe is going to see a doctor. Ross thinks she should've specified that she needs a grown-up doctor. Phoebe thinks she's gonna be having babies soon.
1013,Candy outside,#Monica# tells #Ross# there are some people outside asking about candy. #Ross# asks #Monica# to help him.
1014,Dream about son,#Ross# tells the policeman that he had a dream about his son.
1015,Bartender's job,Mr. Chandler asks the bartender to give him the weekly numbers.
1016,Car breakdown,Ross tells Carol and Monica that they ran out of gas and Susan's car broke down. Ross is too busy with his real friends and asks Carol to take Phoebe's car to pick up Susan's friends. Carol and Monica both agree to do it. Ross apologizes to Carol and Monica for Rachel's behavior.
1017,The coat,#Phoebe# tells #Chandler# that Ross' death is her fault. #Chandler# thinks it's brave and #Phoebe# admits that she loves the coat.
1018,Fight with dad,Ross and Rachel are arguing about the fight between Ross and his dad. Rachel promises to fix it.
1019,A busy time,#Chandler# asks for two burritos to go and asks the Maitre d' to get a table for them in 45 minutes. Monica tells him it's a busy time and that he needs to give money to get a table. #Chandler# is calm and asks for a table a little quicker.
1020,Clean up the office,Rachel asks #Tag# to help her clean up the office.
1021,Cowlicky hair,Ross tells Chandler that he can blow dry it but Chandler still winds up with a cowlicky thing on the middle part of his head.
1022,Pornography,Rachel asks Joey to sweep the chimney. Joey tells Rachel he found her book and apologizes. Rachel tells him there's nothing wrong with a woman enjoying a little pornography.
1023,Scottish family,#Chandler# tells #Ross# about #Chandler#'s Scottish family. #Ross# thinks #Chandler# should play bagpipes at the wedding.
1024,Roommate test,#Joey# wants to make a final decision on the roommate. #Joey# asks #The Potential Roommate# to make a test and #Joey# tells #The Potential Roommate# #Joey# has narrowed it down to two people. #Joey# tells #The Potential Roommate# #Joey# made up a test and #Joey# tells #The Potential Roommate# #Joey# is very close to making a final decision.
1025,Discuss the trifle,"Joey tells Rachel that Janine's friends are dancers and they're going to be drinking a lot. Rachel asks Joey to help her make the trifle, but he refuses. Monica tells Ross that she'll tell Janine's parents if he doesn't tell them."
1026,Cute guy,#Chandler tells Monica that he thinks Phoebe thinks he's cute. Monica thinks he's cute but thinks he misunderstood Phoebe.
1027,Death news,#Phoebe# tells #Phoebe# that #Phoebe#'s grandmother died. #Phoebe# invites #Phoebe# to the memorial service.
1028,Party planner,#Melissa# introduces Allan to #Rachel# who is interested in his job. #Melissa# tells #Rachel# Allan was her first client when #Melissa# became a party planner.
1029,Funny things,"Rachel tells Ben a lot of funny things that she and her friends do. Ben thinks Rachel is funny, but Rachel thinks Ben is stupid."
1030,Take back a watch,Ross tells Chloe that she took his watch. Chloe apologizes and tells Ross she does that.
1031,Fight performance,#Monica and #Pete talk about #Pete's performance in the fight. #Pete thinks that #Monica's ringside position affected #Pete's concentration.
1032,High school friends,"#Monica and #Chip# talk about their high school friends. #Monica# still keeps in touch with Rachel, but #Chip# doesn't. #Monica# sees #Chip# run into Richard Dorfman."
1033,Porsche car,#Joey# tells #Monica# that the Porsche guy took his car back because he didn't like the way it feels when everybody thinks he owns a Porsche.
1034,Visiting friends,#Rachel# is doing the dishes when #Ross# comes to visit.
1035,Best man,Ross wants to be Joey's best man. Joey is surprised and thinks Ross is joking. Ross tells him he wants to be his best man because he thinks he is a good man.
1036,Money problem,Stanley tells Joey the money is not there. Joey thinks it's temporary and asks Stanley to hang out. Stanley thinks people will always want to invest in movies.
1037,Get muffins,Julie asks Rachel to get some muffins for her.
